"rules","support","confidence","lift","count"
"{} => {VeilType=partial}",1,1,1,8124
"{VeilColor=white} => {VeilType=partial}",0.975381585425899,1,1,7924
"{VeilType=partial} => {VeilColor=white}",0.975381585425899,0.975381585425899,1,7924
"{} => {VeilColor=white}",0.975381585425899,0.975381585425899,1,7924
"{GillAttached=free} => {VeilType=partial}",0.974150664697193,1,1,7914
"{VeilType=partial} => {GillAttached=free}",0.974150664697193,0.974150664697193,1,7914
"{GillAttached=free,VeilColor=white} => {VeilType=partial}",0.973165928114229,1,1,7906
"{GillAttached=free,VeilType=partial} => {VeilColor=white}",0.973165928114229,0.998989133181703,1.02420339701769,7906
"{VeilType=partial,VeilColor=white} => {GillAttached=free}",0.973165928114229,0.997728419989904,1.02420339701769,7906
"{GillAttached=free} => {VeilColor=white}",0.973165928114229,0.998989133181703,1.02420339701769,7906
"{VeilColor=white} => {GillAttached=free}",0.973165928114229,0.997728419989904,1.02420339701769,7906
"{} => {GillAttached=free}",0.974150664697193,0.974150664697193,1,7914
"{RingNumber=one} => {VeilType=partial}",0.921713441654357,1,1,7488
"{VeilType=partial} => {RingNumber=one}",0.921713441654357,0.921713441654357,1,7488
"{VeilColor=white,RingNumber=one} => {VeilType=partial}",0.897095027080256,1,1,7288
"{VeilType=partial,RingNumber=one} => {VeilColor=white}",0.897095027080256,0.973290598290598,0.997856236813834,7288
"{VeilType=partial,VeilColor=white} => {RingNumber=one}",0.897095027080256,0.919737506309944,0.997856236813834,7288
"{RingNumber=one} => {VeilColor=white}",0.897095027080256,0.973290598290598,0.997856236813834,7288
"{VeilColor=white} => {RingNumber=one}",0.897095027080256,0.919737506309944,0.997856236813834,7288
"{GillAttached=free,RingNumber=one} => {VeilType=partial}",0.89807976366322,1,1,7296
"{VeilType=partial,RingNumber=one} => {GillAttached=free}",0.89807976366322,0.974358974358974,1.00021383721156,7296
"{GillAttached=free,VeilType=partial} => {RingNumber=one}",0.89807976366322,0.921910538286581,1.00021383721156,7296
"{GillAttached=free,VeilColor=white,RingNumber=one} => {VeilType=partial}",0.897095027080256,1,1,7288
"{GillAttached=free,VeilType=partial,RingNumber=one} => {VeilColor=white}",0.897095027080256,0.99890350877193,1.02411561146683,7288
"{VeilType=partial,VeilColor=white,RingNumber=one} => {GillAttached=free}",0.897095027080256,1,1.02653525398029,7288
"{GillAttached=free,VeilType=partial,VeilColor=white} => {RingNumber=one}",0.897095027080256,0.92183152036428,1.00012810783112,7288
"{GillAttached=free,RingNumber=one} => {VeilColor=white}",0.897095027080256,0.99890350877193,1.02411561146683,7288
"{VeilColor=white,RingNumber=one} => {GillAttached=free}",0.897095027080256,1,1.02653525398029,7288
"{GillAttached=free,VeilColor=white} => {RingNumber=one}",0.897095027080256,0.92183152036428,1.00012810783112,7288
"{RingNumber=one} => {GillAttached=free}",0.89807976366322,0.974358974358974,1.00021383721156,7296
"{GillAttached=free} => {RingNumber=one}",0.89807976366322,0.921910538286581,1.00021383721156,7296
"{} => {RingNumber=one}",0.921713441654357,0.921713441654357,1,7488
"{GillSpace=close} => {VeilType=partial}",0.838503200393895,1,1,6812
"{VeilType=partial} => {GillSpace=close}",0.838503200393895,0.838503200393895,1,6812
"{GillSpace=close,VeilColor=white} => {VeilType=partial}",0.814869522402757,1,1,6620
"{GillSpace=close,VeilType=partial} => {VeilColor=white}",0.814869522402757,0.971814445096888,0.996342825841383,6620
"{VeilType=partial,VeilColor=white} => {GillSpace=close}",0.814869522402757,0.835436648157496,0.996342825841383,6620
"{GillSpace=close} => {VeilColor=white}",0.814869522402757,0.971814445096888,0.996342825841383,6620
"{VeilColor=white} => {GillSpace=close}",0.814869522402757,0.835436648157496,0.996342825841383,6620
"{GillAttached=free,GillSpace=close} => {VeilType=partial}",0.812653865091088,1,1,6602
"{GillSpace=close,VeilType=partial} => {GillAttached=free}",0.812653865091088,0.969172049324721,0.994889275804149,6602
"{GillAttached=free,VeilType=partial} => {GillSpace=close}",0.812653865091088,0.834217841799343,0.994889275804149,6602
"{GillAttached=free,GillSpace=close,VeilColor=white} => {VeilType=partial}",0.812653865091088,1,1,6602
"{GillAttached=free,GillSpace=close,VeilType=partial} => {VeilColor=white}",0.812653865091088,1,1.02523977788995,6602
"{GillSpace=close,VeilType=partial,VeilColor=white} => {GillAttached=free}",0.812653865091088,0.997280966767372,1.02374407051025,6602
"{GillAttached=free,VeilType=partial,VeilColor=white} => {GillSpace=close}",0.812653865091088,0.835061978244371,0.995895994018977,6602
"{GillAttached=free,GillSpace=close} => {VeilColor=white}",0.812653865091088,1,1.02523977788995,6602
"{GillSpace=close,VeilColor=white} => {GillAttached=free}",0.812653865091088,0.997280966767372,1.02374407051025,6602
"{GillAttached=free,VeilColor=white} => {GillSpace=close}",0.812653865091088,0.835061978244371,0.995895994018977,6602
"{GillSpace=close} => {GillAttached=free}",0.812653865091088,0.969172049324721,0.994889275804149,6602
"{GillAttached=free} => {GillSpace=close}",0.812653865091088,0.834217841799343,0.994889275804149,6602
"{GillSpace=close,RingNumber=one} => {VeilType=partial}",0.795667159034958,1,1,6464
